date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:38	38188/38188	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/layout/overview/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/layout/overview/index.html	(from http://getbootstrap.com/)
18:05:39	23231/23231	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/about/history/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/about/history/index.html	(from http://getbootstrap.com/)
18:05:42	80588/80588	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/img/bootstrap-themes.png	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/img/bootstrap-themes.png	(from http://getbootstrap.com/)
18:05:44	19197/19197	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/js/vendor/popper.min.js	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/js/vendor/popper.min.js	(from http://getbootstrap.com/)
18:05:44	69597/69597	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258d026fb-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	C:/My%20Web%20Sites/bootstrap4/code.jquery.com/jquery-3.2.1.slim.min.js	(from http://getbootstrap.com/)
18:05:45	50564/50564	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/dist/js/bootstrap.min.js	(from http://getbootstrap.com/)
18:05:45	69597/69597	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/js/vendor/jquery-slim.min.js	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/js/vendor/jquery-slim.min.js	(from http://getbootstrap.com/)
18:05:46	50976/50976	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/js/docs.min.js	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/js/docs.min.js	(from http://getbootstrap.com/)
18:05:48	2195/2195	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/assets/js/ie-emulation-modes-warning.js	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/js/ie-emulation-modes-warning.js	(from http://getbootstrap.com/)
18:05:49	19518/19518	---MCZ	200	added ('OK')	text/css	etag:%224c3e-gsHlQiMFsFjzV+zO+xirL0n9UI8%22	https://cdn.jsdelivr.net/docsearch.js/2/docsearch.min.css	C:/My%20Web%20Sites/bootstrap4/cdn.jsdelivr.net/docsearch.js/2/docsearch.min.css	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
